Name,Summary,Average Runtime,Premiere Date,Genres,Type,Language,Network,Rating,Schedule (days),Total Seasons,Total Episodes
The Incredible Hulk,"David Banner is a research scientist trying to find a way to tap into the hidden strength that all humans possess. Then, one night in his labratory, an experiment went wrong, causing him to be overexposed to gamma radiation. Now, whenever angered or distressed, the mild-mannered scientist finds himself transforming into a powerful seven-foot green creature known as The Incredible Hulk. The Hulk is guided by David's personality, dealing with whatever distresses David. But unfortunately, David has no control over the creature's actions. Nor can he remember what he had done during his Hulkish states. He travels around the country in search of a cure, while taking various odd jobs under different aliases.",61,5/12/1982,"['Action', 'Fantasy', 'Science-Fiction']",Scripted,English,CBS,7.2,['Wednesday'],5,83
Tour of Duty,"As the first television drama series about the Vietnam War, Tour of Duty focuses on a single platoon of young U.S. soldiers through their one-year tour of combat duty in Vietnam during the late 1960's. While their own country is rocked by a massive anti-war movement, these young men find themselves thrown into combat in Southeast Asia, where they face enemy troops they can not see and sometimes can not kill. They also face their own fears, as they struggle in a hostile environment just to keep themselves and their fellow soldiers alive.",60,4/28/1990,"['Drama', 'Action', 'War']",Scripted,English,CBS,7.2,[],3,58
Leah Remini: It's All Relative,"Leah Remini played the unforgettably funny, no-nonsense wife on <i>The King of Queens</i>, but she's just as funny when she's acting as real-life wife to her husband of 10 years, Angelo, and mom to her feisty 9-year-old daughter Sofia. In the all-new TLC series <i>""Leah Remini: It's All Relative""</i>, find out what life is really like in the entertainment industry as you step into Leah's home to watch her juggle career, her celebrity status and her family.Leah's living in Los Angeles now, but she still has her Brooklyn roots (and accent). Her day-to-day reality is about keeping her over-achieving tendencies under control and managing a household full of hijinks -- and funny personalities! In the show, you'll meet Angelo, who's a devoted father helping run their family diner, and Sofia, who's the spitting image of her dad with her mom's personality. Filling out Leah's household are her opinionated mother, Vicki; eccentric stepfather, George; down-to-earth sister Shannon; and Sofia's British nanny.",32,9/2/2015,['Unknown'],Reality,English,TLC,7.2,['Wednesday'],2,26
Finding Carter,"Finding Carter is a family drama that centers on Carter, a teenage girl who thinks she has the perfect life until one night after a police bust at a high school party she is told that the woman who she believes to be her biological mother actually abducted her as a toddler.",60,12/15/2015,"['Drama', 'Family']",Scripted,English,MTV,7.2,['Tuesday'],2,36
Serial Experiments Lain,"Close the World. Open the Next. Decades before the internet was something people carried around in their pockets, these words introduced anime fans to a surreal existence where computer monitors served as portals to brave new worlds. Serial Experiments: Lain and its deceptively ""ordinary"" title character redefined an entire generation's concept of the world wide web, prompting us all to suspiciously take note of humming power lines and central processing units. Follow along as fourteen year old Lain – driven by the abrupt suicide of a classmate – logs on to the Wired and promptly loses herself in a twisted mass of hallucinations, memories, and interconnected-psyches. Close the World. Open the Next. It's as simple as the flip of a switch.",30,9/28/1998,"['Anime', 'Science-Fiction', 'Thriller']",Animation,Japanese,TV Tokyo,7.2,['Monday'],1,13
Survivors,"When a deadly virus wipes out most of the world's population, a handful of survivors struggle to stay alive.",60,2/23/2010,"['Drama', 'Science-Fiction']",Scripted,English,BBC One,7.2,['Tuesday'],2,12
We Bare Bears,"We Bare Bears is about three brother bears who awkwardly attempt to find their place in civilized society, whether they're looking for food, trying to make human friends, or scheming to become famous on the internet. Grizzly, Panda and Ice Bear stack atop one another when they leave their cave and explore the hipster environs of the San Francisco Bay Area, and it's clear the siblings have a lot to learn about a technologically driven world. By their side on many adventures are best friend Chloe (the only human character in the cast), fame-obsessed panda Nom Nom, and Charlie, aka Bigfoot.",15,5/27/2019,"['Comedy', 'Family']",Animation,English,Cartoon Network,7.2,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']",4,139
The Muppets,"<i>The Muppets</i> return to prime time with a contemporary, documentary-style show that, for the first time ever, will explore the Muppets' personal lives and relationships, both at home and at work, as well as romances, break-ups, achievements, disappointments, wants and desires; a more adult Muppet show, for kids of all ages.",30,3/1/2016,"['Comedy', 'Children', 'Family']",Scripted,English,ABC,7.2,['Monday'],1,16
Wander Over Yonder,"Emmy-winning producer Craig McCracken, among the most sought-after talent in TV animation, is the creator/executive producer of Disney Channel's Wander Over Yonder, an animated comedy series about best friends and epic enemies, set in surreal places across the universe. Wander is an overly-optimistic intergalactic traveler who, along with his loyal but bullish steed, Sylvia, goes from planet to planet helping people to live free and have fun, all against the evil reign of Lord Hater and his army of Watchdogs.",24,6/27/2016,"['Comedy', 'Adventure', 'Science-Fiction']",Animation,English,Disney XD,7.2,['Monday'],2,79
Feed the Beast,"Feed the Beast tells the story of Tommy and Dion who are like brothers. Dion can't stay out of trouble. Tommy can't move past it. For two friends on the brink of losing everything, a dusty pipe dream of opening up an upscale restaurant in their hometown of the Bronx is all they have left to turn their lives around. Together, they take on the insanity of the New York restaurant world, and navigate its underbelly of petty criminals, corrupt officials and violent mobsters.",60,8/2/2016,"['Drama', 'Food', 'Crime']",Scripted,English,AMC,7.2,"['Tuesday', 'Sunday']",1,10
The Escape Artist,A chilling and bloody legal thriller that explores the line between law and justice.,60,11/12/2013,"['Drama', 'Thriller', 'Legal']",Scripted,English,BBC One,7.2,['Tuesday'],1,3
Dragon Ball Kai,"A remastered version of Dragon Ball Z that adheres more to the manga's story. This version includes newly recorded dialog by the original voice actors, new sound effects, new OP/ED sequences, and a brand new HD video transfer.",25,4/15/2017,"['Action', 'Adventure', 'Anime', 'Fantasy']",Animation,Japanese,Fuji TV,7.2,['Sunday'],2,167
Queen of Swords,"In 1817, a young Spanish aristocrat, Tessa Alvarado, returns to Spanish California after the death of her father and finds her home in ruins, her father's manservant reduced to stealing. The town where she was born is run by a militaristic governor who abuses his power, resulting in the miscarriage of justice and the poor living conditions of his subjects. Upset about the state of her birthplace and the murder of her father, Tessa's path is revealed to her in a mysterious dream where her father comes to her and talks of his murder, his hidden gold, and of his ""Avenging Angel"". She will take up arms to protect the people from the town's governor and to avenge her father's death. Tessa will do this in disguise behind a mask, becoming that ""Avenging Angel"", <i>The Queen of Swords</i>.As the Queen of Swords, Tessa becomes a vision of hope for the people who live in her long oppressed town.",60,6/2/2001,"['Action', 'Adventure', 'Western']",Scripted,English,Syndication,7.2,['Saturday'],1,22
37 Days,"Covering the final weeks before the outbreak of war, 37 Days follows the rapidly changing crisis through the eyes of the principal players, during a hot summer, from the assassination of Archduke Franz Ferdinand on 28 June 1914, to the declaration of war between Britain and Germany on 4 August.The drama serial will overturn orthodox assumptions about the war's inevitability. Such a disaster did not happen by chance, and nor was it a foregone conclusion. It took considerable effort and terrific ingenuity, as well as staggering bad luck, to destroy a system that had kept the general peace in Europe for the 99 years that followed the Battle of Waterloo and the fall of Napoleon.Writer Mark Hayhurst comes fresh from the success of Hitler on Trial for BBC Two, which starred Ed Stoppard and Ian Hart. He has previously written award-winning docu-dramas for major broadcasters, such as Robespierre and the French Revolution, Last Days of the Raj and The Somme and the Year London Blew Up.",60,3/8/2014,"['Drama', 'War', 'History']",Scripted,English,BBC Two,7.2,"['Thursday', 'Friday', 'Saturday']",1,3
Stitchers,"ABC Family's first procedural drama, Stitchers, follows Kirsten a young woman recruited into a covert government agency to be 'stitched' into the minds of the recently deceased, using their memories to investigate murders and decipher mysteries that otherwise would have gone to the grave. Working alongside Kirsten is Cameron, a brilliant neuroscientist whose passion for the program is evident in his work. The secret program is headed by Maggie, a skilled veteran of covert operations, and includes Linus, a socially immature bioelectrical engineer and communications technician. Kirsten's roommate, Camille, a gifted computer science grad student, is also recruited to use her skills to assist Kirsten in her new role as a ""stitcher"".",59,8/14/2017,"['Drama', 'Crime', 'Science-Fiction']",Scripted,English,Freeform,7.2,['Monday'],3,30
Sanjay and Craig,Sanjay and Craig is a 20-episode series that tells a beautiful story about two best friends -- one of whom is a snake -- and the true adventures of being a kid.,25,7/29/2016,"['Comedy', 'Children']",Animation,English,Nicktoons,7.2,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",3,112
Strip the Cosmos,"In each episode of Strip the Cosmos, stunning CGI strips major planets, moons, black holes, stars and galaxies of gases, minerals, rock, magma and gravitational force-fields – layer by layer – revealing the destiny, origins and structure of the universe. <i>Strip the Cosmos</i> will also explore fascinating mysteries including: What happens inside an exploding star?; Can you escape from being sucked into a black hole?; Do the insides of comets harbor life?; and can we travel through the cosmos inside an asteroid?",55,11/18/2020,['Unknown'],Documentary,English,Science,7.2,['Wednesday'],4,30
Beavis and Butt-Head,"A national treasure in an age of idiocy… When Beavis and Butt-Head first appeared on MTV more than a decade ago, critics dismissed them as brainless couch potatoes who did nothing but watch TV and make lewd jokes about bodily functions. Today we know they were ahead of their time. Beavis and Butt-Head's unique idiocy profoundly changed television, movies, pop culture and the world.",15,12/29/2011,"['Comedy', 'Music']",Animation,English,MTV,7.2,['Thursday'],9,210
Judging Amy,"Judging Amy is a drama about a single mother who has left New York behind to become a Family Court judge in Hartford, Connecticut. Judge Amy Gray is divorced and raising her young daughter, Lauren. They live with Amy's very opinionated mother Maxine, a social worker who is often at odds with her boss Sean. Amy has reestablished relationships with her younger brother Vincent, her older brother Peter and his wife Gillian. Assisting Amy in the courtroom are her Court Services officer Bruce Van Exel and her eager court-clerk-turned-lawyer Donna Kozlowski. Judging Amy is about three generations of women living together as they confront the personal and professional dilemmas in their changing, challenging lives.",60,5/3/2005,"['Drama', 'Family', 'Legal']",Scripted,English,CBS,7.2,['Tuesday'],6,138
Bella and the Bulldogs,"Middle schooler Bella Dawson left her life as a popular cheerleader behind to join the Bulldogs as their new star quarterback. Trading in her pom-poms for a pigskin was a total dream come true, but now Bella must find a balance between football and her cheerleading BFFs. Does she have what it takes to overcome the doubters and lead her team to victory, without compromising who she is? And what will happen when those worlds collide?",30,6/25/2016,"['Comedy', 'Children']",Scripted,English,Nickelodeon,7.2,['Saturday'],2,40
Airwolf,"Stringfellow Hawke is a reclusive renegade pilot who's assigned to top-secret missions for the CIA by the mysterious ""Archangel"". Hawke's weapon of choice is the high-tech battle helicopter of the future, Airwolf. Loaded with cutting-edge surveillance equipment and unbelievable firepower, Airwolf takes Hawke and his friend Dominic around the globe in search of dangerous international spies and criminals.",60,8/7/1987,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,USA Network,7.2,['Friday'],4,80
Ravenswood,"Ravenswood centered on a town not far from Rosewood, Pa., which has suffered under a deadly curse for generations. Five strangers find themselves connected by this fatal curse and need to dig into the town's mysterious and terrible history before it's too late for all of them.",60,2/4/2014,"['Drama', 'Horror']",Scripted,English,Freeform,7.2,['Tuesday'],1,10
Workaholics,"Graduating from college and entering the real world isn't easy, especially for these three unmotivated roommates on Workaholics.",30,3/15/2017,['Comedy'],Scripted,English,Comedy Central,7.2,['Wednesday'],7,86
Z Nation,"Z Nation starts three years after the zombie virus has gutted the country, a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood. Although the antibodies he carries are the world's last, best hope for a vaccine, he hides a dark secret that threatens them all. With humankind's survival at stake, the ragtag band embarks on a journey of survival across three thousand miles of rusted-out post-apocalyptic America.",61,12/28/2018,"['Action', 'Horror', 'Science-Fiction']",Scripted,English,Syfy,7.2,['Friday'],5,68
Virtuality,"The crew of the Phaeton is approaching the go/no-go point of their epic 10-year journey through outer space. With the fate of Earth in their hands, the pressure is intense. The best bet for helping the crew members maintain their sanity is the cutting-edge virtual reality technology installed on the ship. It's the perfect stress-reliever until they realize a glitch in the system has unleashed a virus on to the ship. Tensions mount as the crew decides how to contain the virus and complete their mission. Meanwhile, their lives are being taped for a reality show back on Earth.",60,6/26/2009,"['Drama', 'Action', 'Adventure']",Scripted,English,FOX,7.2,['Friday'],1,1
Victorious,"Tori Vega's thrown into the spotlight at a musical showcase and lands a spot at Hollywood Arts, the most prestigious arts high school in the country. At the school, Tori realizes that to fit in, she must stand out!",31,2/2/2013,"['Drama', 'Comedy', 'Family']",Scripted,English,Nickelodeon,7.2,['Saturday'],4,56
Guys with Kids,"Guys with Kids is a comedy about three thirty-something dads trying to hold on to their youth, while holding onto their new babies' hands. Easy, right? Thankfully, Chris, Nick and Gary have each other to help navigate their survival as new dads, while still trying desperately to remain dudes. Balancing work or staying at home, painfully married or happily divorced, they know that taking care of the little ones while maintaining a social life is a daily challenge. Whether it's hosing the little squirt down in the kitchen sink or hitting the bar strapped with a baby björn, these guys are on a roller-coaster adventure - parenting like you (and they) have never seen before.Someone once said it is much easier to become a father than to be one. These three guys are about to find out just how true that is.",30,2/27/2013,"['Comedy', 'Family']",Scripted,English,NBC,7.2,['Wednesday'],1,17
Frisky Dingo,"Frisky Dingo is an eleven minute animated series airing on Adult Swim by Matt Thompson and Adam Reed, co-creators of the cult hit, Sealab 2021. Supervillain Killface is finding that, in theory, destroying the world seems like a lot of fun, but in actual practice, it is a very dull and complicated process. There are many boring details to work out such as media buys, budgets and marketing. Every great villain needs a nemesis. Enter billionaire playboy Xander Crews. As the superhero Awesome X, Xander seems to be doing everything he can to stop Killface, but actually he just wants to make it look that way so his action figure line stays in business.",15,3/23/2008,"['Comedy', 'Science-Fiction']",Animation,English,Adult Swim,7.2,['Sunday'],2,25
Shirobako,"Back in high school, five friends were in the animation club together. Now they each work (or are in the process of breaking into) the anime industry. One is a production assistant, one a key animator, one a 3D animator, one a voice actor, and one an aspiring script writer. But their lives are far more hectic than the days they spent making anime together as students.",30,3/26/2015,"['Drama', 'Anime', 'Crime']",Animation,Japanese,Tokyo MX,7.2,['Thursday'],1,24
The Astronaut Wives Club,The Astronaut Wives Club tells the story of the women who were key players behind some of the biggest events in American history.,60,8/20/2015,"['Drama', 'History']",Scripted,English,ABC,7.1,['Thursday'],1,10
The Neighbors,"The Neighbors revolves around a family that has relocated to a gated townhouse community in New Jersey called ""Hidden Hills"". Upon their arrival, they discover that the entire community is populated by residents from another planet. Amongst their myriad quirks, these aliens identify themselves by the names of sports celebrities, patrol the community in golf carts, dress alike, receive nourishment through their eyes and mind by reading books rather than eating, and cry green goo from their ears. The aliens have assumed human form, but they can revert to their natural appearance by clapping their hands above their heads. They have been stuck on Earth for 10 years, still awaiting instructions to return home.",30,4/11/2014,"['Comedy', 'Science-Fiction']",Scripted,English,ABC,7.1,['Friday'],2,44
Superstore,"Superstore is a workplace comedy about a unique family of employees at a super-sized megastore. From the bright-eyed newbies and the seen-it-all veterans to the clueless summer hires and in-it-for-life managers, together they hilariously tackle the day-to-day grind of rabid bargain hunters, riot-causing sales and nap-worthy training sessions.",30,3/25/2021,['Comedy'],Scripted,English,NBC,7.1,['Thursday'],6,112
Hindsight,"What if you could go back in time and do it all over again? What would you do differently?We meet Becca on the eve of her second wedding. It all seems perfect this time around, but she is still plagued by doubt. What if she could fix everything, and make the 'right' choices this time? Becca finds herself thinking about her former best friend Lolly with whom she had a falling out many years ago. If only she could talk to her once again... Suddenly, after a freakish elevator ride, Becca gets the opportunity to do just that as she wakes up in New York City on the morning of her first wedding day in 1995. She's about to marry Sean, a bad-boy artist who is all wrong for her - and she knows her first move must be to reconnect with Lolly to re-live that day. Can she 'make it right' by living her life all over while readapting to life in New York City in the 90's - a time of smoking in bars, carrying pagers, having an AOL email address? Becca will soon discover there's no sure-fire way to make the right choices in life - even knowing everything she thinks she knows now.",60,3/11/2015,"['Drama', 'Comedy', 'Science-Fiction']",Scripted,English,VH1,7.1,['Wednesday'],1,10
The Ricky Gervais Show,"Based on the series of podcasts that Gervais did with longtime partner Stephen Merchant, this comedy team convenes to bring HBO an animated series about their hilarious friend Karl Pilkington.",30,7/13/2012,['Comedy'],Animation,English,HBO,7.1,['Friday'],3,39
Berlin Station,"Berlin Station is a contemporary spy series that follows Daniel Miller, an undercover agent who has just arrived at the CIA station in Berlin, Germany. Miller has a clandestine mission: to determine the identity of a now-famous whistleblower masquerading as ""Thomas Shaw"". Guided by jaded veteran Hector DeJean, Daniel learns to contend with the rough-and-tumble world of the field officer - agent-running, deception, danger and moral compromises. As he dives deeper into the German capital's hall of mirrors and uncovers the threads of a conspiracy that leads back to Washington, Daniel wonders: Can anyone ever be the same after a posting to Berlin?",60,2/17/2019,"['Drama', 'Mystery', 'Espionage']",Scripted,English,MGM+,7.1,['Sunday'],3,29
The Crazy Ones,"The Crazy Ones is a comedy about a larger-than-life advertising genius whose unorthodox methods and unpredictable behavior would get him fired... if he weren't the boss. Simon Roberts is the head of a powerful agency, with the biggest clients and brands in the world, but even more important to him is that his daughter Sydney is by his side. As his partner, Sydney is Simon's exact opposite - focused, organized and eager to make a name for herself, but also too busy parenting her father, which she'd resent if he wasn't so brilliant at what he does. Joining them in the firm are the dashing and talented Zach art director Andrew, who's as hard-working as he is neurotic; and the beautiful and deceptively smart assistant Lauren. With his team and his daughter behind him, Simon continues to set the advertising world on fire, and it looks like they are definitely buying what these crazy ones are selling.",30,4/17/2014,['Comedy'],Scripted,English,CBS,7.1,['Thursday'],1,22
Resurrection,"The people of Arcadia, Missouri are forever changed when their deceased loved ones suddenly start to reappear. An 8-year-old American boy wakes up alone in a rice paddy in a rural Chinese province with no idea how he got there. Details start to emerge when the boy, who calls himself Jacob, recalls that his hometown is Arcadia, and an Immigration agent, J. Martin Bellamy, takes him there. The home he claims as his own is occupied by a 60-year-old couple, Henry and Lucille Langston, who lost their son, Jacob, more than 30 years ago. While they look different, young Jacob recognizes them as his parents. Lucille is overjoyed at the seeming miracle of her son's reappearance. Henry is reluctant to accept that Jacob is back. Those closest to the family want answers, including Sheriff Fred Langston, whose wife Barbara drowned 30 years ago while trying to save Jacob, and Fred's daughter, Maggie, a local doctor. Pastor Tom Hale seeks a spiritual reason for what's happening in his community. When things take an even more shocking turn, Maggie's life-long friend, Elaine Richards, finds herself drawn into Arcadia's growing mystery. Bellamy, an outsider in the town, joins forces with Maggie to figure out why the unexplainable is happening in Arcadia. As their investigation plays out, Maggie learns some unsettling truths about her own past. Will they be able to solve the mystery of Arcadia before the rest of the world catches on to events there? And will they be able to protect Jacob from forces beyond their control?",60,1/25/2015,"['Drama', 'Science-Fiction', 'Mystery']",Scripted,English,ABC,7.1,['Sunday'],2,21
The Inside,"When one of the profilers in the FBI's L.A.-based Violent Crimes Unit (VCU) is brutally murdered by a serial killer they've been tracking, rookie FBI Agent Rebecca Locke is recruited to join the team and help find the madman despite her lack of field experience. Unbeknownst to Rebecca, famed Supervisory Special Agent VIRGIL ""WEB"" WEBSTER has personally selected her to join his rogue division - not for her impressive profiling skills, but because of a secret she's keeping. Web knows that Rebecca was abducted and held captive as a child, and the traumatic experience has afforded her unique insight into the mindset of villain and victim alike.",60,7/13/2005,"['Drama', 'Crime']",Scripted,English,FOX,7.1,['Wednesday'],1,13
The Firm,"Based on the best-selling novel by John Grisham, The Firm continues the story of attorney Mitchell McDeere who, as a young associate 10 years earlier, had brought down the prestigious Memphis law firm of Bendini, Lambert &amp; Locke, which had been operating as a front for the Chicago mob. After a difficult decade, which included a stay in the Federal Witness Protection Program, McDeere and his family now emerge from isolation to reclaim their lives and their future -- only to find that past dangers are still lurking and new threats are everywhere. ",60,7/14/2012,"['Drama', 'Crime', 'Legal']",Scripted,English,NBC,7.1,[],1,22
Blunt Talk,"Blunt Talk is set in Los Angeles where the story follows Walter Blunt, a British import intent on conquering the world of American cable news and the fallout from his well-intentioned, but mostly misguided decision-making, both on and off the air. Through the platform of his nightly cable news show, Blunt is on a mission to impart his wisdom and guidance on how Americans should live, think and behave. Besieged by network bosses, a dysfunctional news staff, numerous ex-wives and children of all ages, Blunt's only support is the heavy-drinking, devoted manservant he transplanted from the U.K. to join him in Los Angeles.",30,12/11/2016,"['Drama', 'Comedy']",Scripted,English,STARZ,7.1,['Sunday'],2,20
Nazi Megastructures,"Did you know that the Nazis built some of the biggest and deadliest pieces of military hardware and malevolent technology in history in the quest for world domination?Creating huge terror machines, hi-tech superguns, and some of the original weapons of mass destruction, they aimed to control a nation, conquer a continent and win the war!Nazi Megastructures uncovers the hidden remains of Hitler's most ambitious Megastructures, telling the stories of the engineering geniuses that designed them and revealing how these structures sparked a technological revolution that changed warfare forever.",61,1/16/2020,"['War', 'History']",Documentary,English,National Geographic,7.1,['Monday'],8,47
Masters of Science Fiction,"Six thought-provoking tales of present and future Earth are brought to life in the all-new anthology series, featuring a stellar lineup of actors and directors, and narrated by acclaimed physicist Professor Stephen Hawking. Masters of Science Fiction, from Starz Media in association with Industry Entertainment and its Vancouver partner, Reunion Pictures, is based on some of the genre's most popular and highly regarded short stories.",60,12/9/2007,"['Drama', 'Science-Fiction']",Scripted,English,ABC,7.1,[],1,6
Melrose Place,"A nighttime soap opera about the lives, careers, trials and tribulations of a group of young people living in an apartment building in the trendy neighborhood of Melrose Place. The show was a spin off of Beverly Hills 90210 and starred Heather Locklear as the scheming Amanda Woodward, head of her own advertising agency and owner of the apartment building.",60,5/24/1999,"['Drama', 'Romance']",Scripted,English,FOX,7.1,['Monday'],7,226
Tut,"Spike's Tut tells the astounding saga of one of history's most extraordinary rulers, Tutankhamun (King Tut), his rise to power and his struggle to lead Egypt to glory, while his closest advisors, friends and lovers scheme for their own nefarious interests. ""Tut"" opens up a fascinating window into a world filled with heart-breaking romance, epic battles, political backstabbing, conspiracy, jealousy, and even murder -- proving his world was not far removed from our own -- and that his reign as the youngest Egyptian king played out as a real-life drama for the ages.",80,7/21/2015,"['Drama', 'Adventure', 'Romance']",Scripted,English,Paramount Network,7.1,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']",1,3
Selfie,"Eliza Dooley has 263,000 followers who hang on to her every post, tweet and selfie. But one lonely day, she has a revelation: being friended is not the same as having actual friends. She asks marketing guru Henry to 'rebrand' her self-obsessed reputation and teach her how to connect with people in the real world. Loosely based on <i>My Fair Lady</i>, Selfie explores the modern struggles of Eliza and Henry, as he tries to teach her how to live life offline - whether she 'likes' it or not.",30,12/30/2014,"['Comedy', 'Romance']",Scripted,English,ABC,7.1,['Tuesday'],1,13
Golden Boy,Drama about the meteoric rise of an ambitious cop who becomes the youngest police commissioner in the history of New York City.,60,5/14/2013,"['Drama', 'Crime']",Scripted,English,CBS,7.1,['Tuesday'],1,13
The Jinx: The Life and Deaths of Robert Durst,"From Andrew Jarecki and Marc Smerling (the Oscar® nominees behind <i>Capturing the Friedmans</i>), comes The Jinx: The Life and Deaths of Robert Durst, a six-part examination of the reclusive millionaire at the heart of three killings spanning four decades. Robert Durst, the scion of a New York real estate empire, has long been a suspect in the notorious 1982 disappearance of his wife, Kathie. Further suspicion was raised with the unsolved killing of his confidante, Susan Berman, thought to be a key witness in the investigation into Kathie's disappearance in 2000, as well as the subsequent killing and dismemberment of a neighbor in Galveston, Texas. Durst has consistently maintained his innocence and remains a free man today.",46,5/26/2024,"['Crime', 'Mystery', 'History']",Documentary,English,HBO,7.1,['Sunday'],2,12
Law & Order: LA,"In the City of Los Angeles, the people are represented by two separate yet equally important groups: the police who investigate crime and the district attorneys who prosecute the offenders. These are their stories.",60,7/11/2011,"['Drama', 'Crime', 'Legal']",Scripted,English,NBC,7.1,[],1,22
Running Wilde,"Running Wilde is a romantic comedy about Steve Wilde, a filthy-rich, immature playboy trying desperately to win (or buy) the heart of his childhood sweetheart, Emmy Kadubic, the uber-liberal humanitarian who got away - all told through the perspective of a 12-year-old girl.Steve Wilde has never performed a selfless act. But why should he - he's rich! The son of an oil tycoon, Steve hasn't had to work a day in his life and has always gotten everything he's wanted - with one exception: the love of Emmy. The daughter of a former Wilde housekeeper, Emmy is an earnest do-gooder who has spent her adult life trying to save the world. And though Emmy is content living with an indigenous tribe in the Amazon rainforest, her 12-year-old daughter, Puddle, just wants to be a normal kid experiencing her adolescence in a normal place. And she would speak up except for the fact that she hasn't spoken in years. When Wilde Oil's expansion in the rain forest threatens her adopted tribe, Emmy decides to attend Steve's self-thrown ""Humanitarian of the Year"" award ceremony in hopes of convincing him to help her cause...and also maybe because she still has a thing for Steve. But same-old Steve is unwilling to help because fighting Wilde Oil (a/k/a Dad) means putting his meal ticket in jeopardy. Rather than run the risk of letting Emmy slip away again, Steve pulls out all the stops to win her heart. To do so, he enlists the only other people in his life who can help: Migo Salazar, Steve's employee/sidekick/errand-boy, and Gertie Stellvertretter, Steve's nanny-turned-head-of-security as well as the biggest protector of Steve...and her own job. Despite having everything he ever wanted, Steve knows he can't buy love and happiness, which falls in sharp contrast to Emmy, who has nothing but love and happiness. So with Emmy committed to doing good for nothing, and Steve being a good for nothing, will this hopelessly mismatched pair ever be able to reconcile their differences?",30,5/21/2011,['Comedy'],Scripted,English,FOX,7.1,['Saturday'],1,13
Point Pleasant,"All hell is about to break loose in a sleepy New Jersey town when a sudden violent storm washes in more than the tide. The peaceful existence of a small seaside community will dramatically change forever when Christina Nickson is rescued from the ocean by local lifeguard Jesse Parker and brought to the home of local doctor Ben Kramer. The Kramers, including Ben's wife, Meg, and daughter, Judy, take an instant liking to Christina and invite her stay with them as she searches for clues to her past and attempts to find her mother, a Point Pleasant native whom Christina never knew. Unbeknownst to Christina, her presence in the town is having a profound effect on its inhabitants - awakening repressed feelings, unlocking secret desires and heightening emotions. As Christina seeks answers to her mother's disappearance, she will come to realize that she has never known her ""real"" father either - for Christina is the offspring of a mortal woman and the Devil. While Christina struggles to control the demon inside her (and the powers that come with it), the fight for her soul has begun and the town of Point Pleasant has turned into the ultimate battleground of good vs. evil.",60,3/17/2005,"['Drama', 'Horror', 'Thriller']",Scripted,English,FOX,7.1,['Thursday'],1,13
Outrageous Acts of Science,"The internet is ridden with clips of people doing crazy, hilarious and downright amazing things and on Outrageous Acts of Science, we highlight the cream of the crop. From human powered flying machines in Canada, space explorers in the UK, backwards talking girls in the US and the New Zealander that built a robot rock band the show counts down a definitive top 20 clips of people doing the extraordinary in each episode. With episodes dedicated to homemade inventions, human guinea pigs, nature obsessed thrillers and pure danger junkies the team of scientists deconstruct and explain how each action in the clip worked, how risky it was and above all exactly why it shouldn't be tried at home.",60,1/30/2019,['Unknown'],Reality,English,Science,7.1,['Wednesday'],10,109
Crisis,"It's field trip day for the students of Ballard High School, a place that educates the children of Washington, D.C.'s elite, top-of-their-industry CEOs, international diplomats, political power players and even the president's son. But when their bus is ambushed on a secluded rural road, the teenagers and their chaperones are taken, igniting a national crisis. Now with some of the country's most powerful parents at the mercy of one vengeful mastermind, the question arises: How far would you go and what would you become to ensure your child's safe return? With so many parents and dignitaries put into play with nowhere to turn and no one to trust, this unthinkable scenario grows from the select families at risk to an entire nation at stake.",60,6/21/2014,"['Drama', 'Action', 'Thriller']",Scripted,English,NBC,7.1,['Sunday'],1,13
Misfit Garage,"A spin-off of the hit series Fast N' Loud, the #1 car show on television, Misfit Garage features four mechanics who have all done business with Richard Rawling's Gas Monkey Garage and join forces to create their own hot rod shop to rival Gas Monkey. Will this band of misfits be able to turn their garage into a money-making machine, or will their mistakes sink their business before it gets off the ground?",60,8/8/2018,['Unknown'],Reality,English,Discovery,7.1,['Wednesday'],6,54
Bluestone 42,Comedy drama series following the lives of a bomb disposal detachment serving in Afghanistan.,30,4/13/2015,"['Drama', 'Comedy', 'War']",Scripted,English,BBC Three,7.1,['Monday'],3,20
CHiPs,"Where the rubber meets the road and the bad guys meet the badge -- that's where you'll find California Highway Patrol motorcycle officers Jon and Ponch. Set in the sun-drenched sprawl of Los Angeles, CHiPs combines action, heroics and fun.",60,5/1/1983,"['Drama', 'Action', 'Crime']",Scripted,English,NBC,7.1,['Sunday'],6,139
Klondike,"Klondike follows the lives of two childhood best friends, Bill and Epstein, in the late 1890s as they flock to the gold rush capital in the untamed Yukon Territory. This man-versus-nature tale places our heroes in a land full of undiscovered wealth, but ravaged by harsh conditions, unpredictable weather and desperate, dangerous characters including greedy businessmen, seductive courtesans and native tribes witnessing the destruction of their people and land by opportunistic entrepreneurs.Based on Charlotte Gray's book ""Gold Diggers: Striking It Rich in the Klondike"".",60,1/22/2014,"['Drama', 'Adventure', 'History']",Scripted,English,Discovery,7.1,[],1,6
